Name of Composer,Dates,Nationality,Name of piece,Year,Duration (mins),Instrumentation - Ensemble type (instruments),Recording links,Publisher,Score link,Composer website,Biography,Bio_source
"Alberga, Eleanor",b.1949,Jamaican British,Dancing with the Shadow Duo,1990,4.5,Clarinet and Piano,https://open.spotify.com/track/4mvHgkCHgU3ECK4tVCg4xQ?si=6abfd015f25f4276,Oxford University Press,,https://eleanoralberga.com/,,
"Alberga, Eleanor",b.1949,Jamaican British,Dancing with the Shadow  ,1990,25,"Flute, Clarinet, Violin, Cello, Piano, Percussion",https://www.youtube.com/watch?v=AxQ3acoWXY0,,,https://eleanoralberga.com/,,
"Alberga, Eleanor",b.1949,Jamaican British,Nightscape,1993,26,"2 Oboes, 1 Bb Clarinet, 1 Bb/Eb Clarinet 2 Basset Horns, 2 Bassoons, 4 Horns, Double Bass",https://www.youtube.com/watch?v=mCgATMt53tk,,,https://eleanoralberga.com/,,
"Alberga, Eleanor",b.1949,Jamaican British,On a Bat's Back I do Fly,2000,12,"Flute, Clarinet/Bass Clarinet, Horn, Violin, Cello, Piano, Percussion",https://soundcloud.com/eleanoralberga/alberga-on-a-bats-back-i-do-fly,,,https://eleanoralberga.com/,,
"Albert, Adrienne",b.1941,American,Menage a Trio,2010,11,"Flute, Clarinet, Bassoon",http://www.adriennealbert.com/works_chamber.html,Kenter Canyon Musc,http://www.adriennealbert.com/works_chamber.html,http://www.adriennealbert.com,,
"Albert, Adrienne",b.1941,American,Doppler Effect,2014,6,"Oboe/Clarinet, Bassoon, Piano",https://www.youtube.com/watch?v=xqP_wYjCY_M,Kenter Canyon Musc,http://www.adriennealbert.com/works_chamber.html,http://www.adriennealbert.com,,
"Alexandra, Liana",1947-2011,Romanian,Clarinet Sonata,1973,9,Solo Clarinet,https://www.youtube.com/watch?v=AAO5WmpqMe0 ,,https://ks4.imslp.net/files/imglnks/usimg/d/d6/IMSLP334314-PMLP540224-LianaAlexandra_ClarinetSonata_ManuscriptGrayscale.pdf ,,,
"Alexandra, Liana",1947-2011,Romanian,more to add!,,,,,,,,,
"Amalia, Anna (Princess of Prussia)",1723-1787,German,Divertimento - Adagio and Allegro,1780,10,"Clarinet, Viola, Cello, Piano",https://www.youtube.com/watch?v=Nfy7WCUsXpY,Thomas Ang,,,,
"Appledorn, Mary Jeanne van",1927-2014,American,Reeds Afire,1994,,Clarinet and Bassoon,,Southern Music Company,https://www.trevcomusic.com/products/stx-su330-van-appledorn-reeds-afire-cl-bsn,,,
"Appledorn, Mary Jeanne van",1927-2014,American,Sonatina,,10,Clarinet and Piano,https://www.youtube.com/watch?v=O_DHClxZLOk,,,,,
"Arakelyan, Kristina",b.1994,British Armenian,,,,,,,,https://www.kristinaarakelyan.com/,,
"Archer, Violet",1913-2000,Canadian,Sonata for Clarinet,1970,15,Clarinet and Piano,https://www.youtube.com/watch?v=HAWyCnjJbAA,Waterloo Music,https://cmccanada.org/shop/7927/,,,
"Archer, Violet",1913-2000,Canadian,Four Short Pieces,1995,,Solo Clarinet,,Canadian Music Centre,https://cmccanada.org/shop/15063/,,,
"Archer, Violet",1913-2000,Canadian,"Sonata for Flute, Clarinet and Piano",1944,19,"Flute, Clarinet, Piano",https://open.spotify.com/album/1EBqLTQlOoFTBJT5kqlhVN?si=F8x6-5eCQOqjDIVeFg69jw,Canadian Music Centre,https://cmccanada.org/shop/1756/,,,
"Archer, Violet",1913-2000,Canadian,Concertino,1960,21,Clarinet and Orchestra,,Berandol Music,https://cmccanada.org/shop/6941/,,,
"Archer, Violet",1913-2000,Canadian,Divertimento,1949,9,"Oboe, Clarinet, Bassoon",,,,,,
"Archer, Violet",1913-2000,Canadian,Fantasia Concertante,1941,11,"Flute, Oboe, Clarinet, Strings",,Berandol Music,https://cmccanada.org/shop/5797/,,,
"Archer, Violet",1913-2000,Canadian,Fantasy,1942,6,Clarinet and Strings,,Canadian Music Centre,https://cmccanada.org/shop/6943/,,,
"Archer, Violet",1913-2000,Canadian,If The Stars Are Burning,1987,,"Mezzo Soprano, Clarinet, Piano",,Canadian Music Centre,https://cmccanada.org/shop/9080/,,,
"Archer, Violet",1913-2000,Canadian,Little Suite,1975,7,Clarinet and Piano,,Leeds Music,https://cmccanada.org/shop/9432/,,,
"Archer, Violet",1913-2000,Canadian,Moods,1985,10,Clarinet and Alto Saxophone,,Dorn Publications,,,,
"Archer, Violet",1913-2000,Canadian,One Fifth On Four,1990,,"Clarinet, Cello, Piano, Xylophone, Celesta",,Canadian Music Centre,https://cmccanada.org/shop/10163/,,,
"Archer, Violet",1913-2000,Canadian,Soliloquies for Bb and A Clarinet,1982,16,Solo Clarinet,,Canadian Music Centre,https://cmccanada.org/shop/7925/,,,
"Archer, Violet",1913-2000,Canadian,Sonatina for Clarinet and Piano,1978,,Clarinet and Piano,,,,,,
"Archer, Violet",1913-2000,Canadian,Suite for Clarinet and Bassoon,1947,,Clarinet and Bassoon,,Canadian Music Centre,Probably on the CMC website somewhere but their search function isn't great so can't find it for now,,,
"Archer, Violet",1913-2000,Canadian,Two Songs,1958,5,Soprano and Clarinet,,Canadian Music Centre,Probably on the CMC website somewhere but their search function isn't great so can't find it for now,,,
"Arrieu, Claude (Louise Marie Simon)",1903-1990,French,Capriccio,1970,6,Clarinet and Piano,https://open.spotify.com/track/6fmNEgFCMYcMBJMNY1akFS?si=ad84ecdce8de4cce,Amphion,https://www.boosey.com/shop/prod/Arrieu-Claude-Capriccio-clarinet-piano/2104455,,,
"Arrieu, Claude (Louise Marie Simon)",1903-1990,French,Wind Trio (Suite en Trio),1955,8,"Oboe, Clarinet, Bassoon",,,,,,
"Arrieu, Claude (Louise Marie Simon)",1903-1990,French,Five Movements (Cinq Movements),1964,10,"Clarinet Quartet (Eb Clarinet, 2 Bb Clarinets, Bass Clarinet)",,,,,,
"Arrieu, Claude (Louise Marie Simon)",1903-1990,French,Wind Quintet (Quintette en Ut),1952,10,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,,https://www.justflutes.com/shop/product/wind-quintet-claude-arrieu,,,
"Arrieu, Claude (Louise Marie Simon)",1903-1990,French,Wind Dectet (Dixtuor pour Instruments à Vent),1967,12,"2 Flutes, Oboe, 2 Clarinets, 2 Bassoons, Horn, Trumpet, Trombone",,,,,,
"Arrieu, Claude (Louise Marie Simon)",1903-1990,French,Wind Quartet (Suite en Quatre),1980,9,"Wind Quartet (Flute, Oboe, Clarinet, Bassoon)",,,https://www.justflutes.com/shop/product/suite-en-quatre-claude-arrieu,,,
"Arrieu, Claude (Louise Marie Simon)",1903-1990,French,La fête,1976,,Clarinet and Piano,,,https://www.justflutes.com/shop/product/la-fete-clarinet-piano-claude-arrieu#gref,,,
"Arrieu, Claude (Louise Marie Simon)",1903-1990,French,Un jour d’été,1976,,Clarinet and Piano,,,https://www.justflutes.com/shop/product/un-jour-dete-clarinet-piano-claude-arrieu#gref,,,
"Arrieu, Claude (Louise Marie Simon)",1903-1990,French,Petit Choral,1980,,Clarinet and Piano,,,https://www.justflutes.com/shop/product/petit-choral-clarinet-piano-claude-arrieu#gref,,,
"Aubin, Francine",1938-2016,French,Deux pièces en forme de jazz,1985,5,Clarinet and Piano?,,,,,,
"Bacewicz, Grażyna",1909-1969,Polish,Wind Quintet,1932,10,"Flute, Oboe, Clarinet, Bassoon, Horn",,,,,,
"Bacewicz, Grażyna",1909-1969,Polish,Polish Capriccio,1949,2,Clarinet and Piano,,,,,,
"Bacewicz, Grażyna",1909-1969,Polish,Oberek No.1,1949,2,Clarinet and Piano,,,,,,
"Bacewicz, Grażyna",1909-1969,Polish,Easy Pieces for Clarinet and Piano,1948,,Clarinet and Piano,,,,,,
"Bacewicz, Grażyna",1909-1969,Polish,Trio,1948,,"Oboe, Clarinet, Bassoon",,,,,,
"Bacewicz, Grażyna",1909-1969,Polish,Clarinet Quintet,1950,,Clarinet and String Quartet,,,,,,
"Baiocchi, Regina Harris",b.1956,American,Chasé,,,,,,,,,
"Baiocchi, Regina Harris",b.1956,American,Karibu,,,,,,,,,
"Barraine, Elsa",1910-1999,French,Ouvrage de Dame,1931,9,"Flute, Oboe, Clarinet, Bassoon, Horn",,Le Chant du Monde,https://www.prestomusic.com/sheet-music/composers/21850/browse?instrument=175,,,
"Bauer, Marion",1882-1955,American,Sonata for Clarinet (or Viola) Op. 22,1932,14,Clarinet and Piano,,,,,,
"Bauer, Marion",1882-1955,American,Suite (Duo) Op. 25,1932,8,Oboe and Clarinet,https://open.spotify.com/album/0BYOed6wOp51ZXnm3hr73E?si=NVIYKQVhRCKwW045GySe_w,,,,,
"Bauer, Marion",1882-1955,American,Concertino Op. 32b,1939,9,"Oboe, Clarinet and Orchestra",https://open.spotify.com/album/0BYOed6wOp51ZXnm3hr73E?si=NVIYKQVhRCKwW045GySe_w,,,,,
"Bauer, Marion",1882-1955,American,Woodwind Quintet Op. 48,1956,,"Flute, Oboe, Clarinet, Bassoon, Horn",,,,,,
"Bauld, Alison",b.1944,Australian,My own island,1989,8,Clarinet and Piano,,Novello & Co Ltd (World),https://www.musicroom.com/alison-bauld-my-own-island-for-clarinet-and-piano-musnov951522     https://www.sheetmusicplus.com/title/bauld-my-own-island-for-clarinet-and-piano-sheet-music/18887070?ac=1,,,
"Beach, Amy",1867-1944,American,Pastorale,1941,10,"Flute, Oboe, Clarinet, Bassoon, Horn",https://open.spotify.com/track/5qRDJrT3Z8rDLAapAmw8Fx?si=9c9d677f2bf14ae0,Hildegard Publishing,https://www.stretta-music.com/beach-beach-amy-nr-1344221.html,,,
"Beamish, Sally",b.1956,British (English),The Parting Glass,2020,3,Solo Clarinet,,Edition Peters,,,,
"Beamish, Sally",b.1956,British (English),Tom's Turn,1992,3,Solo Clarinet,,Edition Peters,,,,
"Beamish, Sally",b.1956,British (English),The Flittin',2018,,Clarinet and Violin,,Edition Peters,,,,
"Beamish, Sally",b.1956,British (English),Variations,1985,2,Clarinet and Piano,,Edition Peters,,,,
"Beamish, Sally",b.1956,British (English),Distans,2020,25,"Violin, Clarinet and Orchestra",,Edition Peters,,,,
"Beamish, Sally",b.1956,British (English),Adagio and Variations,2011,9,"Flute, Cor Anglais, Clarinet, Bassoon, Horn",,Edition Peters,,,,
"Beamish, Sally",b.1956,British (English),Commedia,1990,15,"Flute/Piccolo, Clarinet/Eb Clarinet, Violin, Cello, Piano",,Edition Peters,,,,
